UserID,userName,userEmailId,userMobNumber,userPassword,userAddress,regTime,UUID,userType,,,
1,vendor1,vendor1@gmail.com,9832535871,password,Not Available,12/12/2021 10:42,VENDOR1,vendor,,,
2,vendor2,vendor2@gmail.com,9832023879,password,Not Available,12/13/2021 10:42,VENDOR2,vendor,,,
3,vendor3,vendor3@gmail.com,9832088408,password,Not Available,12/14/2021 10:42,VENDOR3,vendor,,,
4,vendor4,vendor4@gmail.com,9832628646,password,Not Available,12/15/2021 10:42,VENDOR4,vendor,,,
5,vendor5,vendor5@gmail.com,9832101749,password,Not Available,12/16/2021 10:42,VENDOR5,vendor,,,
6,vendor6,vendor6@gmail.com,9832344568,password,Not Available,12/17/2021 10:42,VENDOR6,vendor,,,
7,vendor7,vendor7@gmail.com,9832164215,password,Not Available,12/18/2021 10:42,VENDOR7,vendor,,,
8,vendor8,vendor8@gmail.com,9832546500,password,Not Available,12/19/2021 10:42,VENDOR8,vendor,,,
9,vendor9,vendor9@gmail.com,9832540093,password,Not Available,12/20/2021 10:42,VENDOR9,vendor,,,
10,vendor10,vendor10@gmail.com,9832328056,password,Not Available,12/21/2021 10:42,VENDOR10,vendor,,,
11,vendor11,vendor11@gmail.com,9832329433,password,Not Available,12/22/2021 10:42,VENDOR11,vendor,,,
12,vendor12,vendor12@gmail.com,9832108441,password,Not Available,12/23/2021 10:42,VENDOR12,vendor,,,
13,vendor13,vendor13@gmail.com,9832204343,password,Not Available,12/24/2021 10:42,VENDOR13,vendor,,,
14,vendor14,vendor14@gmail.com,9832567282,password,Not Available,12/25/2021 10:42,VENDOR14,vendor,,,
15,vendor15,vendor15@gmail.com,9832616847,password,Not Available,12/26/2021 10:42,VENDOR15,vendor,,,
16,vendor16,vendor16@gmail.com,9832196934,password,Not Available,12/27/2021 10:42,VENDOR16,vendor,,,
17,vendor17,vendor17@gmail.com,9832573592,password,Not Available,12/28/2021 10:42,VENDOR17,vendor,,,
18,vendor18,vendor18@gmail.com,9832240669,password,Not Available,12/29/2021 10:42,VENDOR18,vendor,,,
19,vendor19,vendor19@gmail.com,9832079609,password,Not Available,12/30/2021 10:42,VENDOR19,vendor,,,
20,vendor20,vendor20@gmail.com,9832518861,password,Not Available,12/31/2021 10:42,VENDOR20,vendor,,,
21,customer21,customer21@gmail.com,9832428866,password,Not Available,1/1/2022 10:42,CUSTOMER21,customer,,,
22,customer22,customer22@gmail.com,9832414325,password,Not Available,1/2/2022 10:42,CUSTOMER22,customer,,,
23,customer23,customer23@gmail.com,9832079028,password,Not Available,1/3/2022 10:42,CUSTOMER23,customer,,,
24,customer24,customer24@gmail.com,9832398998,password,Not Available,1/4/2022 10:42,CUSTOMER24,customer,,,
25,customer25,customer25@gmail.com,9832347400,password,Not Available,1/5/2022 10:42,CUSTOMER25,customer,,,
26,customer26,customer26@gmail.com,9832532994,password,Not Available,1/6/2022 10:42,CUSTOMER26,customer,,,
27,customer27,customer27@gmail.com,9832068268,password,Not Available,1/7/2022 10:42,CUSTOMER27,customer,,,
28,customer28,customer28@gmail.com,9832342334,password,Not Available,1/8/2022 10:42,CUSTOMER28,customer,,,
29,customer29,customer29@gmail.com,9832645379,password,Not Available,1/9/2022 10:42,CUSTOMER29,customer,,,
30,customer30,customer30@gmail.com,9832184407,password,Not Available,1/10/2022 10:42,CUSTOMER30,customer,,,
31,customer31,customer31@gmail.com,9832204014,password,Not Available,1/11/2022 10:42,CUSTOMER31,customer,,,
32,customer32,customer32@gmail.com,9832204846,password,Not Available,1/12/2022 10:42,CUSTOMER32,customer,,,
33,customer33,customer33@gmail.com,9832003240,password,Not Available,1/13/2022 10:42,CUSTOMER33,customer,,,
34,customer34,customer34@gmail.com,9832260264,password,Not Available,1/14/2022 10:42,CUSTOMER34,customer,,,
35,customer35,customer35@gmail.com,9832601646,password,Not Available,1/15/2022 10:42,CUSTOMER35,customer,,,
36,customer36,customer36@gmail.com,9832293731,password,Not Available,1/16/2022 10:42,CUSTOMER36,customer,,,
37,customer37,customer37@gmail.com,9832135873,password,Not Available,1/17/2022 10:42,CUSTOMER37,customer,,,
38,customer38,customer38@gmail.com,9832506015,password,Not Available,1/18/2022 10:42,CUSTOMER38,customer,,,
39,customer39,customer39@gmail.com,9832182479,password,Not Available,1/19/2022 10:42,CUSTOMER39,customer,,,
